Sr_No,Application_Name,Application_Group,group_id,Datacenter,HostNames,Wily_Alert,Wily_MOM,Spectrum,Sitescope,PagerDuty,P_Services,P_Token,P_SubDomain,Splunk,Wily,NewRelic
1,ProductSurvey,Mobile,1,,,,,,,,,,,,,
2,ProductRegistration(UniReg),Mobile,1,,,,,,,,,,,,,
3,mTalk SMS Gateway ( Mtalk ),Mobile,1,,,,,,,,,,,,,
4,AUM/UM (Updatemanager),Mobile,1,,,,,,,,,,,,,
5,Data Extraction Service ( Idea ),Mobile,1,,,,,,,,,,,,,
6,CrashReporter,Mobile,1,,,,,,,,,,,,,
7,Confluence,Tools,2,,,,,,,,,,,,,
8,Github,Tools,2,,,,,,,,,,,,,
9,Jira ,Tools,2,,,,,,,,,,,,,
10,Icode ,Tools,2,,,,,,,,,,,,,
11,Code Collaborator ,Tools,2,,,,,,,,,,,,,
12,Fisheye,Tools,2,,,,,,,,,,,,,
13,TEP,Tools,2,,,,,,,,,,,,,
14,ID Manager,Identity-NonTax,3,,,,,,,,,,,,,
15,HATS,Identity-NonTax,3,,,,,,,,,,,,,
16,IAM Ticket,Identity-NonTax,3,,,,,,,,,,,,,
17,ID Audit,Identity-NonTax,3,,,,,,,,,,,,,
18,IUS,Identity-NonTax,3,,,,,,,,,,,,,
19,IUX,Identity-NonTax,3,,,,,,,,,,,,,
20,SDX,Identity-NonTax,3,,,,,,,,,,,,,
21,UDX,Identity-NonTax,3,,,,,,,,,,,,,
22,UnboundID,Identity-NonTax,3,,,,,,,,,,,,,
23,IDX,Identity-NonTax,3,,,,,,,,,,,,,
24,ID Fed,Identity-NonTax,3,,,,,,,,,,,,,
25,ID Profile,Identity-NonTax,3,,,,,,,,,,,,,
26,OAuth,Identity-NonTax,3,,,,,,,,,,,,,
27,OAuth2,Identity-NonTax,3,,,,,,,,,,,,,
28,QBN Login,QBN,4,,,,,,,,,,,,,
29,CSR ,QBN,4,,,,,,,,,,,,,
30,SFloop,QBN,4,,,,,,,,,,,,,
31,Subscription Web Service,QBN,4,,,,,,,,,,,,,
32,Mars ,QBN,4,,,,,,,,,,,,,
33,Publisher,QBN,4,,,,,,,,,,,,,
34,Billing,QBN,4,,,,,,,,,,,,,
35,QBN Apps/WebApps,QBN,4,,,,,,,,,,,,,
36,QBN Partner,QBN,4,,,,,,,,,,,,,
37,QBN Tcontent,QBN,4,,,,,,,,,,,,,
38,QBN ContentWS,QBN,4,,,,,,,,,,,,,
39,QBN Reports,QBN,4,,,,,,,,,,,,,
40,Ticket,Identity-Tax,5,,,,,,,,,,,,,
41,Hats,Identity-Tax,5,,,,,,,,,,,,,
42,Access,Identity-Tax,5,,,,,,,,,,,,,
43,IUS,Identity-Tax,5,,,,,,,,,,,,,
44,IUX,Identity-Tax,5,,,,,,,,,,,,,
45,IDManger,Identity-Tax,5,qdc,pprfiamid300.corp.intuit.net|pprfiamid301.corp.intuit.net|pprfiamid302.corp.intuit.net,,,Yes,Yes,Yes,P8566ES,H3Z1yMnnjsr9VTpmNddZ,ics-intuit,,Yes,No
45,IDManger,Identity-Tax,5,lvdc,pprfiamid406.corp.intuit.net|pprfiamid407.corp.intuit.net|pprfiamid408.corp.intuit.net ,,,Yes,Yes,Yes,P29XUTG,H3Z1yMnnjsr9VTpmNddZ,ics-intuit,,Yes,No
46,Oauth2,Identity-NonTax,3,qdc,pprfoath2304.corp.intuit.net|pprfoath2305.corp.intuit.net |pprfoath2306.corp.intuit.net|pprfoath2307.corp.intuit.net ,,,Yes,Yes,Yes,P24CZ15,H3Z1yMnnjsr9VTpmNddZ,ics-intuit,,Yes,No
46,Oauth2,Identity-NonTax,3,lvdc,pprfoath2402.corp.intuit.net|pprfoath2403.corp.intuit.net ,,,Yes,Yes,Yes,PULL0LC,H3Z1yMnnjsr9VTpmNddZ,ics-intuit,,Yes,No
47,UnBoundID ,Identity-Tax,5,,,,,,,,,,,,,
48,API Gateway ,Identity-Tax,5,,,,,,,,,,,,,
49,Messaging,Identity-Tax,5,,,,,,,,,,,,,
50,API Gateway,Service-Fabrics,6,,,,,,,,,,,,,
51,DAP,CTO-ICS,7,,,,,,,,,,,,,
52,Messaging,Service-Fabrics,6,,,,,,,,,,,,,
53,API Portal,Service-Fabrics,6,,,,,,,,,,,,,
54,Service Registry ,Service-Fabrics,6,,,,,,,,,,,,,
55,Node.js,Service-Fabrics,6,,,,,,,,,,,,,
56,Secret Service Manager,PublicCloud,8,,,,,,,,,,,,,
57,Secret Service Proxy,PublicCloud,8,,,,,,,,,,,,,
58,Risk Screening Service,PublicCloud,8,,,,,,,,,,,,,
59,Anti virus Scan,PublicCloud,8,,,,,,,,,,,,,
60,Sensitive Data Tokenization,PublicCloud,8,,,,,,,,,,,,,
61,Log Managment Service,PublicCloud,8,,,,,,,,,,,,,
62,Tiles,PublicCloud,8,,,,,,,,,,,,,
63,Cloud Access Service,PublicCloud,8,,,,,,,,,,,,,
64,Public cloud splunk,PublicCloud,8,,,,,,,,,,,,,
